"hardware","algorithm","engine","sign time (s)","verify time (s)","sign speed (sign/s)","verify speed (verify/s)"
mellanox,rsa2048,null,0.01126,0.000299,88.8,3344.1
mellanox,rsa2048,null,0.011249,0.000299,88.9,3344.8
mellanox,rsa2048,null,0.011249,0.000299,88.9,3344.3
mellanox,rsa2048,null,0.011249,0.000299,88.9,3343.7
mellanox,rsa2048,null,0.011249,0.000299,88.9,3343.6
mellanox,rsa2048,null,0.01126,0.000299,88.8,3339.8
mellanox,rsa2048,null,0.01126,0.000299,88.8,3345.0
mellanox,rsa2048,null,0.011261,0.000299,88.8,3342.9
mellanox,rsa2048,null,0.011287,0.000299,88.6,3345.1
mellanox,rsa2048,null,0.011249,0.000299,88.9,3344.3
mellanox,rsa2048,null,0.011249,0.000299,88.9,3345.3
mellanox,rsa2048,null,0.01126,0.000299,88.8,3340.8
mellanox,rsa2048,null,0.011261,0.000299,88.8,3344.8
mellanox,rsa2048,null,0.011249,0.000299,88.9,3344.4
mellanox,rsa2048,null,0.011249,0.000299,88.9,3345.0
mellanox,rsa2048,null,0.01126,0.000299,88.8,3341.3
mellanox,rsa2048,null,0.011336,0.000299,88.2,3344.6
mellanox,rsa2048,null,0.01126,0.000299,88.8,3344.5
mellanox,rsa2048,null,0.01126,0.000299,88.8,3344.8
mellanox,rsa2048,null,0.01126,0.000299,88.8,3344.1
mellanox,rsa4096,null,0.078437,0.001151,12.7,869.0
mellanox,rsa4096,null,0.078359,0.001151,12.8,868.7
mellanox,rsa4096,null,0.078359,0.001151,12.8,869.0
mellanox,rsa4096,null,0.078594,0.001151,12.7,868.7
mellanox,rsa4096,null,0.078359,0.00115,12.8,869.2
mellanox,rsa4096,null,0.078359,0.001151,12.8,868.6
mellanox,rsa4096,null,0.078437,0.001151,12.7,869.0
mellanox,rsa4096,null,0.078594,0.001151,12.7,868.8
mellanox,rsa4096,null,0.078672,0.001151,12.7,869.0
mellanox,rsa4096,null,0.078516,0.001151,12.7,869.0
mellanox,rsa4096,null,0.078359,0.001151,12.8,868.6
mellanox,rsa4096,null,0.078594,0.001151,12.7,869.1
mellanox,rsa4096,null,0.078516,0.001151,12.7,868.6
mellanox,rsa4096,null,0.078437,0.001151,12.7,869.0
mellanox,rsa4096,null,0.078359,0.001151,12.8,868.9
mellanox,rsa4096,null,0.078594,0.001151,12.7,868.9
mellanox,rsa4096,null,0.078359,0.001151,12.8,869.0
mellanox,rsa4096,null,0.078437,0.001152,12.7,868.1
mellanox,rsa4096,null,0.078672,0.001151,12.7,868.6
mellanox,rsa4096,null,0.078672,0.001151,12.7,868.8
mellanox,dsa2048,null,0.004124,0.003857,242.5,259.3
mellanox,dsa2048,null,0.004125,0.003795,242.4,263.5
mellanox,dsa2048,null,0.00413,0.003864,242.2,258.8
mellanox,dsa2048,null,0.004125,0.00378,242.4,264.5
mellanox,dsa2048,null,0.004124,0.003812,242.5,262.3
mellanox,dsa2048,null,0.004124,0.003819,242.5,261.8
mellanox,dsa2048,null,0.004128,0.003876,242.3,258.0
mellanox,dsa2048,null,0.004124,0.003799,242.5,263.2
mellanox,dsa2048,null,0.004124,0.003944,242.5,253.5
mellanox,dsa2048,null,0.004125,0.003755,242.4,266.3
mellanox,dsa2048,null,0.004128,0.003896,242.3,256.7
mellanox,dsa2048,null,0.004124,0.003887,242.5,257.2
mellanox,dsa2048,null,0.004125,0.003774,242.4,265.0
mellanox,dsa2048,null,0.004125,0.00386,242.4,259.1
mellanox,dsa2048,null,0.00413,0.003851,242.2,259.7
mellanox,dsa2048,null,0.004124,0.003895,242.5,256.7
mellanox,dsa2048,null,0.004125,0.003765,242.4,265.6
mellanox,dsa2048,null,0.004124,0.00383,242.5,261.1
mellanox,dsa2048,null,0.004127,0.003826,242.3,261.4
mellanox,dsa2048,null,0.004124,0.003864,242.5,258.8
mellanox,rsa2048,pka,0.004864,0.00028,205.6,3566.1
mellanox,rsa2048,pka,0.004866,0.000279,205.5,3586.3
mellanox,rsa2048,pka,0.004861,0.000279,205.7,3590.1
mellanox,rsa2048,pka,0.004859,0.000279,205.8,3583.4
mellanox,rsa2048,pka,0.004857,0.000275,205.9,3638.0
mellanox,rsa2048,pka,0.004859,0.000277,205.8,3604.3
mellanox,rsa2048,pka,0.004862,0.000275,205.7,3632.1
mellanox,rsa2048,pka,0.004857,0.000275,205.9,3633.1
mellanox,rsa2048,pka,0.004854,0.000275,206.0,3638.3
mellanox,rsa2048,pka,0.004869,0.000282,205.4,3541.9
mellanox,rsa2048,pka,0.004857,0.000275,205.9,3631.7
mellanox,rsa2048,pka,0.004871,0.000282,205.3,3541.7
mellanox,rsa2048,pka,0.004869,0.000282,205.4,3542.6
mellanox,rsa2048,pka,0.004857,0.000276,205.9,3628.4
mellanox,rsa2048,pka,0.004857,0.000277,205.9,3615.2
mellanox,rsa2048,pka,0.004857,0.000277,205.9,3604.4
mellanox,rsa2048,pka,0.004866,0.000283,205.5,3539.6
mellanox,rsa2048,pka,0.004866,0.000278,205.5,3591.1
mellanox,rsa2048,pka,0.004859,0.000278,205.8,3600.2
mellanox,rsa2048,pka,0.004864,0.000279,205.6,3583.7
mellanox,rsa4096,pka,0.033322,0.000873,30.0,1145.8
mellanox,rsa4096,pka,0.033333,0.000876,30.0,1142.1
mellanox,rsa4096,pka,0.033322,0.000873,30.0,1145.3
mellanox,rsa4096,pka,0.033333,0.000875,30.0,1142.9
mellanox,rsa4096,pka,0.033333,0.000876,30.0,1142.2
mellanox,rsa4096,pka,0.033333,0.000875,30.0,1142.3
mellanox,rsa4096,pka,0.033333,0.00088,30.0,1136.6
