"hardware","algorithm","process","size (bytes)","time (s)","throughput (kB/s)","throughput (GB/s)"
mellanox,aes-256-gcm,encryption,16,3,74018.58,0.07401858
mellanox,aes-256-gcm,encryption,64,3,199425.3,0.1994253
mellanox,aes-256-gcm,encryption,256,3,325608.19,0.32560819
mellanox,aes-256-gcm,encryption,1024,3,382713.17,0.38271317
mellanox,aes-256-gcm,encryption,8192,3,405124.44,0.40512444000000003
mellanox,aes-256-gcm,encryption,16384,3,402991.79,0.40299178999999996
mellanox,aes-256-gcm,encryption,16,3,68659.88,0.06865988
mellanox,aes-256-gcm,encryption,64,3,199419.16,0.19941916
mellanox,aes-256-gcm,encryption,256,3,326593.62,0.32659362
mellanox,aes-256-gcm,encryption,1024,3,382708.39,0.38270839
mellanox,aes-256-gcm,encryption,8192,3,397494.95,0.39749495
mellanox,aes-256-gcm,encryption,16384,3,398830.25,0.39883025
mellanox,aes-256-gcm,encryption,16,3,70332.03,0.07033203
mellanox,aes-256-gcm,encryption,64,3,199415.4,0.1994154
mellanox,aes-256-gcm,encryption,256,3,326306.39,0.32630639
mellanox,aes-256-gcm,encryption,1024,3,382718.98,0.38271898
mellanox,aes-256-gcm,encryption,8192,3,405872.64,0.40587264
mellanox,aes-256-gcm,encryption,16384,3,401686.53,0.40168653000000004
mellanox,aes-256-gcm,encryption,16,3,70377.77,0.07037777
mellanox,aes-256-gcm,encryption,64,3,200206.85,0.20020685000000002
mellanox,aes-256-gcm,encryption,256,3,325623.81,0.32562381
mellanox,aes-256-gcm,encryption,1024,3,382735.02,0.38273502000000004
mellanox,aes-256-gcm,encryption,8192,3,405408.43,0.40540843
mellanox,aes-256-gcm,encryption,16384,3,404094.98,0.40409498
mellanox,aes-256-gcm,encryption,16,3,73199.0,0.073199
mellanox,aes-256-gcm,encryption,64,3,199376.87,0.19937686999999998
mellanox,aes-256-gcm,encryption,256,3,326542.42,0.32654242
mellanox,aes-256-gcm,encryption,1024,3,382703.27,0.38270327000000004
mellanox,aes-256-gcm,encryption,8192,3,405422.08,0.40542208
mellanox,aes-256-gcm,encryption,16384,3,406552.58,0.40655258
mellanox,aes-256-gcm,encryption,16,3,74479.66,0.07447966
mellanox,aes-256-gcm,encryption,64,3,199413.72,0.19941372
mellanox,aes-256-gcm,encryption,256,3,325781.59,0.32578159
mellanox,aes-256-gcm,encryption,1024,3,382733.99,0.38273398999999997
mellanox,aes-256-gcm,encryption,8192,3,405252.78,0.40525278000000003
mellanox,aes-256-gcm,encryption,16384,3,403406.85,0.40340685
mellanox,aes-256-gcm,encryption,16,3,74490.52,0.07449052
mellanox,aes-256-gcm,encryption,64,3,199419.99,0.19941999
mellanox,aes-256-gcm,encryption,256,3,326423.55,0.32642355
mellanox,aes-256-gcm,encryption,1024,3,382699.86,0.38269986
mellanox,aes-256-gcm,encryption,8192,3,402677.76,0.40267776
mellanox,aes-256-gcm,encryption,16384,3,400375.81,0.40037581
mellanox,aes-256-gcm,encryption,16,3,74485.66,0.07448566000000001
mellanox,aes-256-gcm,encryption,64,3,199440.23,0.19944023000000002
mellanox,aes-256-gcm,encryption,256,3,326176.26,0.32617626
mellanox,aes-256-gcm,encryption,1024,3,382702.93,0.38270293
mellanox,aes-256-gcm,encryption,8192,3,397265.58,0.39726558
mellanox,aes-256-gcm,encryption,16384,3,401091.24,0.40109124
mellanox,aes-256-gcm,encryption,16,3,73391.74,0.07339174000000001
mellanox,aes-256-gcm,encryption,64,3,200131.61,0.20013161
mellanox,aes-256-gcm,encryption,256,3,325961.98,0.32596198
mellanox,aes-256-gcm,encryption,1024,3,372855.47,0.37285546999999997
mellanox,aes-256-gcm,encryption,8192,3,404368.04,0.40436804
mellanox,aes-256-gcm,encryption,16384,3,396891.48,0.39689147999999996
mellanox,aes-256-gcm,encryption,16,3,73325.18,0.07332517999999999
mellanox,aes-256-gcm,encryption,64,3,199263.79,0.19926379
mellanox,aes-256-gcm,encryption,256,3,326576.38,0.32657638
mellanox,aes-256-gcm,encryption,1024,3,382654.12,0.38265412
mellanox,aes-256-gcm,encryption,8192,3,405804.37,0.40580436999999997
mellanox,aes-256-gcm,encryption,16384,3,396771.33,0.39677133000000003
mellanox,aes-256-gcm,encryption,16,3,73720.46,0.07372046
mellanox,aes-256-gcm,encryption,64,3,199416.23,0.19941623
