hardware,worker_processes,thread,file size,Latency Avg,Latency Stdev,Latency Max,Latency +/- Stdev,Req/Sec Avg,Req/Sec Stdev,Req/Sec Max,Req/Sec +/- Stdev,Requests/sec,Transfer/sec
server,1,1,1k,1.57ms  ,776.32us  ,14.44ms   ,80.48%,1.41k   ,613.45,2.11k    ,78.44%,1383.18,1.67MB
server,1,1,10k,1.64ms    ,0.86ms  ,14.59ms   ,81.12%,1.59k   ,404.8,2.07k    ,84.90%,1574.03,15.74MB
server,1,1,100k,7.15ms    ,4.10ms  ,42.61ms   ,80.53%,342.79,429.9,1.44k    ,81.18%,270.35,26.46MB
server,1,1,1m,326.28ms  ,550.17ms   ,2.00s    ,83.27%,183.93,63.53,460,69.95%,183.1,183.25MB
server,1,1,10m,203.31ms  ,177.21ms   ,1.94s    ,87.65%,37.74,18.8,120,71.24%,37.46,375.54MB
server,2,1,1k,1.55ms    ,1.12ms  ,17.56ms   ,88.66%,1.42k   ,840.65,3.04k    ,58.33%,1393.65,1.68MB
server,2,1,10k,1.79ms    ,1.33ms  ,22.79ms   ,87.72%,1.87k   ,711.92,2.89k    ,66.16%,1854.03,18.54MB
server,2,1,100k,10.32ms   ,16.18ms ,264.87ms   ,96.50%,366.61,504.82,1.93k    ,81.78%,265.55,26.00MB
server,2,1,1m,302.68ms  ,544.15ms   ,2.00s    ,83.91%,181.51,62.73,450,69.12%,180.77,180.90MB
server,2,1,10m,168.05ms  ,164.03ms   ,1.99s    ,92.10%,38.05,18.36,111,74.49%,36.72,368.44MB
server,3,1,1k,1.51ms    ,1.28ms  ,34.09ms   ,89.99%,1.42k     ,0.86k    ,3.54k    ,63.44%,1400.51,1.69MB
server,3,1,10k,1.86ms    ,1.66ms  ,34.48ms   ,89.01%,1.94k     ,0.87k    ,3.39k    ,58.96%,1931.36,19.31MB
server,3,1,100k,9.92ms   ,18.22ms ,220.76ms   ,96.36%,327.87,490.67,2.00k    ,84.60%,266.99,26.14MB
server,3,1,1m,259.40ms  ,259.40ms  ,2.00s    ,85.39%,179.71,63.31,474,70.60%,178.73,178.84MB
server,3,1,10m,188.83ms  ,174.09ms   ,1.99s    ,91.03%,42.07,22.52,140,73.11%,39.95,400.21MB
server,4,1,1k,1.77ms    ,2.86ms ,233.61ms   ,94.66%,1.32k     ,0.93k    ,3.93k    ,64.41%,1008.14,1.22MB
server,4,1,10k,1.86ms    ,1.83ms  ,41.98ms   ,89.48%,1.95k     ,0.97k    ,3.56k    ,56.31%,1929.63,19.29MB
server,4,1,100k,18.53ms   ,36.77ms ,290.58ms   ,94.44%,441.53,535.86,1.79k    ,74.45%,254.2,24.88MB
server,4,1,1m,360.20ms  ,532.42ms   ,2.00s    ,81.67%,173.31,67.36,383,67.68%,171.56,171.69MB
server,4,1,10m,149.76ms  ,117.25ms   ,1.80s    ,89.09%,34.52,17.5,131,74.74%,33.34,334.09MB
server,5,1,1k,1.50ms    ,1.45ms  ,48.94ms   ,90.96%,1.42k   ,842.43,4.13k    ,67.02%,1400.6,1.69MB
server,5,1,10k,1.87ms    ,1.94ms  ,37.02ms   ,89.81%,1.85k     ,1.03k    ,3.79k    ,57.05%,1835.92,18.36MB
