hardware,worker_processes,thread,file size,Latency Avg,Latency Stdev,Latency Max,Latency +/- Stdev,Req/Sec Avg,Req/Sec Stdev,Req/Sec Max,Req/Sec +/- Stdev,Requests/sec,Transfer/sec
smartnic,1,1,1k,3.17ms,13.96ms,1.04s,99.88%,442.18,57.85,474,98.32%,437.63,541.48KB
smartnic,1,1,10k,3.47ms,18.41ms,1.21s,99.86%,427.37,52.87,444,98.38%,422.68,4.23MB
smartnic,1,1,100k,5.70ms,28.95ms,1.52s,99.79%,309.12,35.77,333,98.54%,305.11,29.87MB
smartnic,1,1,1m,20.74ms,46.19ms,1.70s,99.63%,96.77,11.19,120,98.37%,95.51,95.53MB
smartnic,1,1,10m,176.28ms,120.77ms,1.55s,99.11%,12,4.11,20,78.27%,11.84,118.39MB
smartnic,2,1,1k,3.88ms,25.55ms,1.20s,99.77%,0.86k,55.95,0.89k,99.50%,853.26,1.03MB
smartnic,2,1,10k,4.25ms,28.27ms,1.37s,99.75%,813.74,53.07,848,99.50%,804.46,8.04MB
smartnic,2,1,100k,5.59ms,21.40ms,1.21s,99.81%,599.93,45.88,646,98.77%,593.91,58.14MB
smartnic,2,1,1m,21.12ms,41.78ms,1.60s,99.67%,190.84,14.61,202,99.33%,188.75,188.80MB
smartnic,2,1,10m,183.45ms,143.68ms,1.92s,99.06%,23.19,7.46,40,83.20%,23.02,230.29MB
smartnic,3,1,1k,3.44ms,18.87ms,1.20s,99.84%,1.32k,99.7,1.36k,99.28%,1312.74,1.59MB
smartnic,3,1,10k,3.76ms,18.61ms,1.04s,99.80%,1.25k,65.78,1.28k,99.39%,1237.23,12.37MB
smartnic,3,1,100k,6.73ms,38.90ms,1.52s,99.63%,0.93k,45.87,1.06k,99.50%,921.06,90.16MB
smartnic,3,1,1m,20.64ms,34.73ms,1.38s,99.68%,289.62,14.2,310,92.57%,286.93,287.00MB
smartnic,3,1,10m,170.12ms,71.42ms,1.39s,98.65%,35.87,11.96,60,79.96%,35.71,357.10MB
smartnic,4,1,1k,4.22ms,28.55ms,1.28s,99.70%,1.71k,94.03,1.76k,99.05%,1695.48,2.05MB
smartnic,4,1,10k,4.01ms,21.17ms,1.04s,99.75%,1.62k,51.45,1.66k,99.22%,1607.76,16.08MB
smartnic,4,1,100k,5.78ms,22.37ms,1.05s,99.74%,1.22k,48.05,1.27k,98.66%,1213.09,118.75MB
smartnic,4,1,1m,19.91ms,23.20ms,1.13s,99.76%,386.17,19.32,404,92.97%,383.08,383.19MB
smartnic,4,1,10m,169.84ms,67.59ms,1.16s,97.58%,48,15.49,80,81.53%,47.79,478.01MB
smartnic,5,1,1k,3.75ms,22.93ms,1.28s,99.77%,2.17k,110.34,2.23k,99.17%,2157.44,2.61MB
smartnic,5,1,10k,3.79ms,18.94ms,1.12s,99.78%,2.08k,95.2,2.17k,99.22%,2062.52,20.62MB
smartnic,5,1,100k,5.36ms,15.85ms,879.32ms,99.80%,1.56k,57.98,1.61k,99.28%,1545.41,151.28MB
smartnic,5,1,1m,19.90ms,25.98ms,1.29s,99.74%,486.02,22.18,520,92.54%,482.89,483.02MB
smartnic,5,1,10m,166.98ms,62.68ms,1.47s,97.51%,60.6,20.43,101,78.80%,60.38,603.89MB
smartnic,6,1,1k,4.59ms,35.82ms,1.52s,99.68%,2.57k,119.82,2.64k,98.89%,2561.6,3.10MB
smartnic,6,1,10k,3.66ms,15.20ms,972.34ms,99.81%,2.44k,119.21,2.52k,99.33%,2428.04,24.28MB
smartnic,6,1,100k,5.36ms,15.41ms,960.57ms,99.81%,1.85k,60.26,1.91k,98.61%,1838.36,179.96MB
smartnic,6,1,1m,19.43ms,13.75ms,807.62ms,99.81%,580.97,26.54,640,91.43%,577.13,577.28MB
smartnic,6,1,10m,170.09ms,45.90ms,1.49s,95.83%,71,18.28,121,81.85%,70.79,708.22MB
smartnic,7,1,1k,3.57ms,19.18ms,1.12s,99.78%,3.06k,96.74,3.12k,98.89%,3039.71,3.67MB
smartnic,7,1,10k,3.72ms,18.94ms,1.20s,99.80%,2.90k,118.25,3.01k,98.94%,2886.4,28.86MB
smartnic,7,1,100k,5.48ms,18.69ms,1.21s,99.81%,2.20k,70.36,2.27k,98.33%,2182.33,213.63MB
smartnic,7,1,1m,19.35ms,15.42ms,965.97ms,99.81%,684.75,33.59,757,93.50%,681.25,681.42MB
smartnic,7,1,10m,169.45ms,35.28ms,1.25s,96.00%,82.7,17.19,141,76.02%,82.41,824.28MB
smartnic,8,1,1k,3.46ms,17.04ms,1.04s,99.79%,3.46k,119.58,3.55k,99.33%,3433.79,4.15MB
smartnic,8,1,10k,3.54ms,14.94ms,961.33ms,99.83%,3.28k,118.71,3.37k,99.28%,3264.79,32.65MB
smartnic,8,1,100k,5.48ms,13.78ms,962.69ms,99.84%,2.53k,84.66,2.61k,98.78%,2512.14,245.92MB
smartnic,8,1,1m,18.92ms,10.78ms,823.31ms,99.78%,823.8,41.81,0.93k,79.64%,818.97,819.17MB
smartnic,8,1,10m,179.73ms,65.56ms,1.83s,87.25%,97.63,17.04,161,57.75%,97.28,0.95GB
smartnic,9,1,1k,3.78ms,21.93ms,1.28s,99.76%,3.86k,175.68,3.97k,99.17%,3838.04,4.64MB
smartnic,9,1,10k,3.69ms,16.55ms,1.04s,99.82%,3.66k,151.75,3.75k,99.22%,3646.37,36.46MB
smartnic,9,1,100k,5.58ms,10.70ms,732.50ms,99.85%,2.81k,91.96,2.93k,98.78%,2795.16,273.63MB
