"requests","count","time"
1,10000,3.946
1,10000,4.849
1,10000,3.101
1,10000,3.141
1,10000,3.096
1,10000,3.235
1,10000,3.098
1,10000,3.078
1,10000,3.091
1,10000,3.089
1,10000,3.091
1,10000,3.219
1,10000,3.944
1,10000,3.146
1,10000,4.396
1,10000,4.837
1,10000,4.688
1,10000,4.109
1,10000,3.77
1,10000,4.406
2,10000,1.473
2,10000,1.424
2,10000,1.599
2,10000,1.701
2,10000,1.748
2,10000,2.293
2,10000,1.692
2,10000,1.652
2,10000,1.859
2,10000,1.588
2,10000,1.737
2,10000,1.549
2,10000,1.447
2,10000,1.432
2,10000,1.486
2,10000,1.439
2,10000,1.39
2,10000,1.423
2,10000,1.425
2,10000,1.402
3,10000,0.964
3,10000,0.957
3,10000,0.925
3,10000,0.95
3,10000,0.952
3,10000,0.944
3,10000,0.939
3,10000,0.942
3,10000,0.951
3,10000,0.95
3,10000,0.947
3,10000,0.954
3,10000,0.949
3,10000,0.944
3,10000,0.947
3,10000,0.941
3,10000,0.959
3,10000,0.956
3,10000,0.963
3,10000,0.985
4,10000,0.704
4,10000,0.698
4,10000,0.699
4,10000,0.694
4,10000,0.701
4,10000,0.697
4,10000,0.713
4,10000,0.708
4,10000,0.706
4,10000,0.696
4,10000,0.701
4,10000,0.699
4,10000,0.697
4,10000,0.697
4,10000,0.694
4,10000,0.696
4,10000,0.693
4,10000,0.699
4,10000,0.698
4,10000,0.698
5,10000,0.577
5,10000,0.588
5,10000,0.57
5,10000,0.588
5,10000,0.584
5,10000,0.582
5,10000,0.584
5,10000,0.584
5,10000,0.582
5,10000,0.579
5,10000,0.586
5,10000,0.582
5,10000,0.575
5,10000,0.573
5,10000,0.579
5,10000,0.577
5,10000,0.577
5,10000,0.575
5,10000,0.581
5,10000,0.574
6,10000,0.565
6,10000,0.564
6,10000,0.565
6,10000,0.564
6,10000,0.568
6,10000,0.569
6,10000,0.568
6,10000,0.576
6,10000,0.566
6,10000,0.568
6,10000,0.567
6,10000,0.593
6,10000,0.568
6,10000,0.583
6,10000,0.567
6,10000,0.569
6,10000,0.566
6,10000,0.566
6,10000,0.564
6,10000,0.565
7,10000,0.566
7,10000,0.564
7,10000,0.566
7,10000,0.564
7,10000,0.565
7,10000,0.565
7,10000,0.563
7,10000,0.564
7,10000,0.564
7,10000,0.566
7,10000,0.567
7,10000,0.567
7,10000,0.566
7,10000,0.566
7,10000,0.565
7,10000,0.565
7,10000,0.567
7,10000,0.567
7,10000,0.566
7,10000,0.568
8,10000,0.571
8,10000,0.563
8,10000,0.568
8,10000,0.564
8,10000,0.57
8,10000,0.565
8,10000,0.569
8,10000,0.564
8,10000,0.568
8,10000,0.562
8,10000,0.566
8,10000,0.562
8,10000,0.565
8,10000,0.562
8,10000,0.565
8,10000,0.561
8,10000,0.566
8,10000,0.564
8,10000,0.565
8,10000,0.567
9,10000,0.565
9,10000,0.562
9,10000,0.566
9,10000,0.565
9,10000,0.566
9,10000,0.564
9,10000,0.566
9,10000,0.564
9,10000,0.566
9,10000,0.563
9,10000,0.569
9,10000,0.563
9,10000,0.565
9,10000,0.565
9,10000,0.568
9,10000,0.562
9,10000,0.567
9,10000,0.564
9,10000,0.567
9,10000,0.563
10,10000,0.565
10,10000,0.562
10,10000,0.566
10,10000,0.566
10,10000,0.571
10,10000,0.565
10,10000,0.569
10,10000,0.564
10,10000,0.568
10,10000,0.565
10,10000,0.567
10,10000,0.564
10,10000,0.569
10,10000,0.563
10,10000,0.567
10,10000,0.561
10,10000,0.566
10,10000,0.561
10,10000,0.567
10,10000,0.561
11,10000,0.568
11,10000,0.562
11,10000,0.567
11,10000,0.562
11,10000,0.569
11,10000,0.565
