"requests","count","time"
1,10000,9.443
1,10000,9.576
1,10000,8.593
1,10000,9.093
1,10000,9.593
1,10000,8.344
1,10000,9.244
1,10000,9.547
1,10000,8.723
1,10000,9.424
1,10000,8.981
1,10000,9.43
1,10000,9.155
1,10000,8.659
1,10000,7.565
1,10000,8.816
1,10000,9.385
1,10000,9.533
1,10000,8.909
1,10000,9.477
2,10000,1.845
2,10000,2.629
2,10000,2.59
2,10000,2.295
2,10000,1.736
2,10000,1.954
2,10000,1.923
2,10000,1.593
2,10000,1.685
2,10000,1.88
2,10000,2.772
2,10000,1.879
2,10000,1.988
2,10000,1.598
2,10000,1.582
2,10000,1.892
2,10000,2.145
2,10000,2.23
2,10000,2.743
2,10000,1.571
3,10000,2.081
3,10000,1.566
3,10000,1.86
3,10000,1.729
3,10000,1.615
3,10000,1.676
3,10000,1.972
3,10000,1.555
3,10000,1.545
3,10000,1.957
3,10000,1.943
3,10000,1.577
3,10000,1.57
3,10000,1.594
3,10000,1.557
3,10000,1.562
3,10000,1.918
3,10000,1.782
3,10000,1.75
3,10000,1.733
4,10000,1.848
4,10000,1.972
4,10000,1.774
4,10000,1.629
4,10000,1.577
4,10000,1.83
4,10000,1.82
4,10000,1.871
4,10000,1.856
4,10000,1.607
4,10000,1.716
4,10000,1.555
4,10000,1.854
4,10000,1.612
4,10000,1.67
4,10000,1.519
4,10000,1.546
4,10000,1.523
4,10000,1.848
4,10000,1.843
5,10000,1.654
5,10000,1.834
5,10000,1.84
5,10000,1.516
5,10000,1.84
5,10000,1.536
5,10000,1.557
5,10000,1.629
5,10000,1.527
5,10000,1.858
5,10000,1.515
5,10000,1.553
5,10000,1.844
5,10000,1.524
5,10000,1.829
5,10000,1.537
5,10000,1.562
5,10000,1.551
5,10000,1.9
5,10000,1.514
6,10000,1.51
6,10000,1.528
6,10000,1.513
6,10000,1.862
6,10000,1.533
6,10000,1.558
6,10000,1.536
6,10000,1.563
6,10000,1.546
6,10000,1.612
6,10000,1.524
6,10000,1.688
6,10000,1.605
6,10000,1.543
6,10000,1.6
6,10000,1.829
6,10000,1.534
6,10000,1.546
6,10000,1.832
6,10000,1.841
7,10000,1.527
7,10000,1.831
7,10000,1.523
7,10000,1.536
7,10000,1.509
7,10000,1.517
7,10000,1.512
7,10000,1.845
7,10000,1.829
7,10000,1.52
7,10000,1.619
7,10000,1.864
7,10000,1.512
7,10000,1.503
7,10000,1.505
7,10000,1.522
7,10000,1.52
7,10000,1.528
7,10000,1.539
7,10000,1.514
8,10000,1.658
8,10000,1.589
8,10000,1.551
8,10000,1.511
8,10000,1.503
8,10000,1.515
8,10000,1.546
8,10000,1.511
8,10000,1.509
8,10000,1.508
8,10000,1.547
8,10000,1.528
8,10000,1.837
8,10000,1.842
8,10000,1.854
8,10000,1.827
8,10000,1.515
8,10000,1.643
8,10000,1.684
8,10000,1.536
9,10000,1.526
9,10000,1.514
9,10000,1.83
9,10000,1.827
9,10000,1.502
9,10000,1.823
