"requests","count","time"
500,10000,21.42
500,10000,21.414
500,10000,21.421
500,10000,21.417
500,10000,21.426
500,10000,21.436
500,10000,21.425
500,10000,21.42
500,10000,21.42
500,10000,21.438
500,10000,21.441
500,10000,21.374
500,10000,21.447
500,10000,21.458
500,10000,21.443
500,10000,21.427
500,10000,21.441
500,10000,21.361
500,10000,21.425
500,10000,21.348
1000,10000,6.616
1000,10000,11.321
1000,10000,11.327
1000,10000,11.32
1000,10000,11.324
1000,10000,11.322
1000,10000,11.321
1000,10000,11.325
1000,10000,11.342
1000,10000,11.333
1000,10000,11.327
1000,10000,11.339
1000,10000,11.413
1000,10000,11.422
1000,10000,11.36
1000,10000,6.171
1000,10000,11.323
1000,10000,11.34
1000,10000,11.324
1000,10000,11.346
1500,10000,7.696
1500,10000,7.688
1500,10000,7.692
1500,10000,7.762
1500,10000,7.766
1500,10000,7.744
1500,10000,7.696
1500,10000,7.713
1500,10000,7.69
1500,10000,7.702
1500,10000,7.698
1500,10000,7.738
1500,10000,7.696
1500,10000,7.687
1500,10000,7.7
1500,10000,7.724
1500,10000,7.695
1500,10000,7.698
1500,10000,7.691
1500,10000,7.731
2000,10000,5.707
2000,10000,5.956
2000,10000,5.7
2000,10000,5.702
2000,10000,5.698
2000,10000,5.697
2000,10000,5.719
2000,10000,5.701
2000,10000,5.7
2000,10000,5.976
2000,10000,5.81
2000,10000,5.705
2000,10000,5.704
2000,10000,5.707
2000,10000,5.7
2000,10000,5.698
2000,10000,5.699
2000,10000,5.711
2000,10000,5.983
2000,10000,5.973
2500,10000,4.557
2500,10000,4.616
2500,10000,4.542
2500,10000,4.605
2500,10000,4.729
2500,10000,4.699
2500,10000,4.666
2500,10000,4.716
2500,10000,4.682
2500,10000,4.575
2500,10000,2.72
2500,10000,4.475
2500,10000,4.493
2500,10000,4.55
2500,10000,4.701
2500,10000,4.538
2500,10000,4.72
2500,10000,4.715
2500,10000,4.719
2500,10000,4.726
3000,10000,3.882
3000,10000,3.886
3000,10000,3.954
3000,10000,3.881
3000,10000,3.83
3000,10000,3.793
3000,10000,3.882
3000,10000,3.918
3000,10000,3.86
3000,10000,3.877
3000,10000,3.968
3000,10000,3.815
3000,10000,3.886
3000,10000,3.879
3000,10000,3.879
3000,10000,3.761
3000,10000,3.77
3000,10000,3.821
3000,10000,3.602
3000,10000,3.804
3500,10000,3.363
3500,10000,3.427
3500,10000,3.365
3500,10000,3.422
3500,10000,3.361
3500,10000,3.401
3500,10000,3.381
3500,10000,3.423
3500,10000,3.415
3500,10000,3.329
3500,10000,3.178
3500,10000,3.39
3500,10000,3.111
3500,10000,3.352
3500,10000,3.377
3500,10000,3.178
3500,10000,3.184
3500,10000,3.425
3500,10000,3.302
3500,10000,3.391
4000,10000,2.681
4000,10000,3.412
4000,10000,3.166
4000,10000,2.717
4000,10000,3.215
4000,10000,3.314
4000,10000,3.133
4000,10000,3.408
4000,10000,3.183
4000,10000,3.351
4000,10000,3.257
4000,10000,3.224
4000,10000,2.94
4000,10000,3.426
4000,10000,3.16
4000,10000,2.727
4000,10000,3.323
4000,10000,3.343
4000,10000,3.429
4000,10000,2.735
4500,10000,2.697
4500,10000,3.312
4500,10000,3.311
4500,10000,3.312
4500,10000,2.692
4500,10000,2.685
4500,10000,3.111
4500,10000,2.704
4500,10000,3.314
4500,10000,3.214
4500,10000,3.309
4500,10000,2.628
4500,10000,3.311
4500,10000,3.327
4500,10000,3.258
4500,10000,3.113
4500,10000,3.34
4500,10000,3.243
4500,10000,2.818
4500,10000,3.343
5000,10000,2.692
5000,10000,3.092
5000,10000,2.707
5000,10000,2.741
5000,10000,2.704
5000,10000,2.852
5000,10000,2.715
5000,10000,3.242
5000,10000,2.704
5000,10000,3.196
5000,10000,2.806
5000,10000,2.809
5000,10000,3.261
5000,10000,1.753
5000,10000,3.252
5000,10000,3.259
5000,10000,3.254
5000,10000,3.264
5000,10000,2.72
5000,10000,3.263
5500,10000,2.656
5500,10000,2.653
5500,10000,2.72
5500,10000,2.735
5500,10000,2.707
5500,10000,2.736
5500,10000,3.156
5500,10000,2.621
5500,10000,2.722
5500,10000,2.622
5500,10000,1.635
5500,10000,3.133
5500,10000,2.716
5500,10000,2.726
5500,10000,2.722
5500,10000,2.66
5500,10000,2.741
5500,10000,2.662
5500,10000,2.659
5500,10000,2.725
6000,10000,2.701
6000,10000,2.699
6000,10000,2.467
6000,10000,2.452
6000,10000,2.699
6000,10000,2.813
6000,10000,2.707
6000,10000,2.762
6000,10000,2.463
6000,10000,2.468
6000,10000,2.455
6000,10000,2.467
6000,10000,2.464
6000,10000,2.447
6000,10000,2.458
6000,10000,2.46
6000,10000,2.461
6000,10000,2.71
6000,10000,2.476
6000,10000,2.45
6500,10000,2.466
6500,10000,3.456
6500,10000,3.399
6500,10000,2.885
6500,10000,2.746
6500,10000,3.279
6500,10000,2.849
6500,10000,2.736
6500,10000,3.443
6500,10000,2.817
6500,10000,2.971
6500,10000,2.803
6500,10000,2.854
6500,10000,3.044
6500,10000,2.685
6500,10000,2.699
6500,10000,2.851
6500,10000,2.503
6500,10000,2.49
6500,10000,2.585
7000,10000,2.687
7000,10000,3.152
7000,10000,2.791
7000,10000,3.076
7000,10000,2.702
7000,10000,2.794
7000,10000,2.7
7000,10000,2.7
7000,10000,2.541
7000,10000,2.693
7000,10000,2.7
7000,10000,2.803
7000,10000,2.694
7000,10000,2.7
7000,10000,2.697
7000,10000,2.702
7000,10000,2.707
7000,10000,2.698
7000,10000,2.529
7000,10000,2.705
7500,10000,2.649
7500,10000,2.689
7500,10000,2.705
7500,10000,2.639
7500,10000,2.702
7500,10000,2.703
7500,10000,2.803
7500,10000,2.807
7500,10000,2.789
7500,10000,2.799
7500,10000,2.697
7500,10000,2.471
7500,10000,2.754
7500,10000,2.697
7500,10000,2.796
7500,10000,2.67
7500,10000,2.741
7500,10000,2.727
7500,10000,2.565
7500,10000,2.693
8000,10000,3.601
8000,10000,3.469
8000,10000,3.443
8000,10000,3.616
8000,10000,3.582
8000,10000,3.469
8000,10000,3.481
8000,10000,2.646
8000,10000,3.481
8000,10000,3.547
8000,10000,3.146
8000,10000,3.521
8000,10000,3.456
