"requests","count","time"
500,10000,21.425
500,10000,21.438
500,10000,21.428
500,10000,21.431
500,10000,21.43
500,10000,21.358
500,10000,21.43
500,10000,21.437
500,10000,21.403
500,10000,21.374
500,10000,21.415
500,10000,21.369
500,10000,21.433
500,10000,21.434
500,10000,21.44
500,10000,21.427
500,10000,21.409
500,10000,21.427
500,10000,21.431
500,10000,21.44
1000,10000,11.382
1000,10000,11.408
1000,10000,11.354
1000,10000,11.367
1000,10000,11.404
1000,10000,11.389
1000,10000,11.408
1000,10000,11.414
1000,10000,11.369
1000,10000,3.006
1000,10000,11.382
1000,10000,11.394
1000,10000,11.389
1000,10000,11.36
1000,10000,11.43
1000,10000,11.406
1000,10000,11.424
1000,10000,11.409
1000,10000,8.788
1000,10000,11.351
1500,10000,7.718
1500,10000,7.772
1500,10000,7.75
1500,10000,7.755
1500,10000,7.769
1500,10000,7.777
1500,10000,7.769
1500,10000,7.769
1500,10000,7.755
1500,10000,7.652
1500,10000,7.757
1500,10000,7.716
1500,10000,7.576
1500,10000,7.706
1500,10000,7.728
1500,10000,7.717
1500,10000,7.727
1500,10000,7.729
1500,10000,7.729
1500,10000,7.734
2000,10000,5.892
2000,10000,5.909
2000,10000,5.897
2000,10000,5.916
2000,10000,5.885
2000,10000,5.906
2000,10000,5.885
2000,10000,5.902
2000,10000,5.895
2000,10000,5.926
2000,10000,5.893
2000,10000,5.908
2000,10000,5.907
2000,10000,5.882
2000,10000,5.914
2000,10000,5.898
2000,10000,5.876
2000,10000,5.94
2000,10000,5.901
2000,10000,5.894
2500,10000,4.875
2500,10000,4.879
2500,10000,4.856
2500,10000,4.992
2500,10000,4.892
2500,10000,5.023
2500,10000,4.878
2500,10000,4.867
2500,10000,4.849
2500,10000,4.841
2500,10000,4.906
2500,10000,4.849
2500,10000,4.993
2500,10000,4.98
2500,10000,4.99
2500,10000,4.952
2500,10000,4.944
2500,10000,4.983
2500,10000,4.726
2500,10000,4.851
3000,10000,4.036
3000,10000,3.885
3000,10000,3.908
3000,10000,3.888
3000,10000,3.884
3000,10000,3.888
3000,10000,2.277
3000,10000,3.881
3000,10000,3.884
3000,10000,3.88
3000,10000,3.895
3000,10000,3.96
3000,10000,4.019
3000,10000,3.892
3000,10000,3.884
3000,10000,3.892
3000,10000,3.892
3000,10000,3.884
3000,10000,1.024
3000,10000,3.886
3500,10000,3.429
3500,10000,3.509
3500,10000,3.406
3500,10000,3.406
3500,10000,3.406
3500,10000,3.541
3500,10000,3.446
3500,10000,3.404
3500,10000,3.405
3500,10000,3.404
3500,10000,3.401
3500,10000,3.412
3500,10000,3.408
3500,10000,3.455
3500,10000,3.536
3500,10000,3.546
3500,10000,3.45
3500,10000,3.53
3500,10000,3.541
3500,10000,3.517
4000,10000,3.173
4000,10000,3.169
4000,10000,3.176
4000,10000,3.177
4000,10000,3.182
4000,10000,3.139
4000,10000,3.065
4000,10000,3.153
4000,10000,3.178
4000,10000,3.141
4000,10000,3.175
4000,10000,3.071
4000,10000,3.175
4000,10000,3.175
4000,10000,3.181
4000,10000,3.155
4000,10000,3.165
4000,10000,3.173
4000,10000,0.071
4000,10000,3.152
4500,10000,2.723
4500,10000,2.527
4500,10000,2.835
4500,10000,2.728
4500,10000,2.82
4500,10000,2.762
4500,10000,2.584
4500,10000,2.543
4500,10000,2.739
4500,10000,2.615
4500,10000,2.63
4500,10000,2.535
4500,10000,2.526
4500,10000,2.531
4500,10000,2.752
4500,10000,2.522
4500,10000,2.634
4500,10000,2.737
4500,10000,2.835
4500,10000,2.839
5000,10000,2.518
5000,10000,2.528
5000,10000,2.537
5000,10000,2.544
5000,10000,2.516
5000,10000,2.521
5000,10000,2.519
5000,10000,2.541
5000,10000,2.538
5000,10000,2.54
5000,10000,2.526
5000,10000,2.511
5000,10000,2.528
5000,10000,2.513
5000,10000,2.545
5000,10000,2.522
5000,10000,2.545
5000,10000,2.538
5000,10000,2.545
5000,10000,2.516
5500,10000,2.353
5500,10000,0.421
5500,10000,2.357
5500,10000,2.351
5500,10000,2.355
5500,10000,2.355
5500,10000,2.355
5500,10000,2.353
5500,10000,2.285
5500,10000,2.358
5500,10000,2.296
5500,10000,2.327
5500,10000,2.345
5500,10000,2.344
5500,10000,2.355
5500,10000,2.355
5500,10000,2.354
5500,10000,2.355
5500,10000,2.356
5500,10000,2.356
6000,10000,2.204
6000,10000,1.975
6000,10000,1.584
6000,10000,2.071
6000,10000,2.069
6000,10000,2.079
6000,10000,2.184
6000,10000,2.114
6000,10000,1.982
6000,10000,1.973
6000,10000,2.204
6000,10000,2.202
6000,10000,2.204
6000,10000,2.006
6000,10000,2.199
6000,10000,1.979
6000,10000,2.187
6000,10000,1.973
6000,10000,1.982
6000,10000,2.111
6500,10000,2.039
6500,10000,1.963
6500,10000,1.964
6500,10000,1.857
6500,10000,2.023
6500,10000,2.002
6500,10000,2.027
6500,10000,1.914
6500,10000,1.95
6500,10000,2.059
6500,10000,2.055
6500,10000,2.01
6500,10000,2.008
6500,10000,1.86
6500,10000,1.986
6500,10000,1.93
6500,10000,1.897
6500,10000,2.056
6500,10000,1.939
6500,10000,2.06
7000,10000,1.566
7000,10000,1.61
7000,10000,1.558
7000,10000,1.601
7000,10000,1.611
7000,10000,1.605
7000,10000,1.706
7000,10000,1.599
7000,10000,1.595
7000,10000,1.602
7000,10000,1.604
7000,10000,1.6
7000,10000,1.615
7000,10000,1.607
7000,10000,1.621
7000,10000,1.612
7000,10000,1.598
7000,10000,1.614
7000,10000,1.602
7000,10000,1.594
7500,10000,1.531
7500,10000,1.484
7500,10000,1.487
7500,10000,1.481
7500,10000,1.477
7500,10000,1.478
7500,10000,1.51
7500,10000,1.481
7500,10000,1.502
7500,10000,1.495
7500,10000,1.52
7500,10000,1.489
7500,10000,1.479
7500,10000,1.481
7500,10000,1.484
7500,10000,1.477
7500,10000,1.482
7500,10000,1.48
7500,10000,1.479
7500,10000,1.479
8000,10000,1.481
8000,10000,1.476
8000,10000,1.476
8000,10000,1.476
8000,10000,1.477
8000,10000,1.463
8000,10000,1.473
8000,10000,1.523
8000,10000,1.493
8000,10000,1.616
8000,10000,1.481
8000,10000,1.473
8000,10000,1.477
8000,10000,1.511
8000,10000,1.481
8000,10000,1.486
8000,10000,1.471
8000,10000,1.47
8000,10000,1.477
8000,10000,1.607
8500,10000,1.476
8500,10000,1.486
8500,10000,1.468
8500,10000,1.48
8500,10000,1.483
8500,10000,1.494
8500,10000,1.492
8500,10000,1.476
8500,10000,1.479
8500,10000,1.498
8500,10000,1.479
8500,10000,1.501
8500,10000,1.483
8500,10000,1.466
8500,10000,1.463
8500,10000,1.481
8500,10000,1.49
8500,10000,1.488
8500,10000,1.483
8500,10000,1.477
9000,10000,1.475
9000,10000,1.484
9000,10000,1.48
9000,10000,1.483
9000,10000,1.475
9000,10000,1.482
9000,10000,1.485
9000,10000,1.487
9000,10000,1.482
9000,10000,1.468
9000,10000,1.488
9000,10000,1.489
9000,10000,1.486
9000,10000,1.484
9000,10000,1.488
9000,10000,1.487
9000,10000,1.522
9000,10000,1.49
9000,10000,1.487
9000,10000,1.483
9500,10000,1.488
9500,10000,1.466
9500,10000,1.493
9500,10000,1.476
9500,10000,1.49
9500,10000,1.489
9500,10000,1.492
9500,10000,1.487
9500,10000,1.476
9500,10000,1.482
9500,10000,1.484
9500,10000,1.493
9500,10000,1.475
9500,10000,1.486
9500,10000,1.484
9500,10000,1.493
9500,10000,1.48
9500,10000,1.492
9500,10000,1.486
9500,10000,1.491
