"requests","count","time"
500,10000,21.433
500,10000,21.429
500,10000,21.347
500,10000,21.406
500,10000,21.436
500,10000,21.352
500,10000,21.349
500,10000,21.362
500,10000,21.428
500,10000,21.456
500,10000,21.435
500,10000,21.479
500,10000,21.428
500,10000,21.439
500,10000,21.446
500,10000,21.349
500,10000,21.44
500,10000,21.437
500,10000,21.426
500,10000,21.429
1000,10000,11.352
1000,10000,11.363
1000,10000,11.386
1000,10000,11.375
1000,10000,11.372
1000,10000,11.372
1000,10000,11.363
1000,10000,11.375
1000,10000,11.385
1000,10000,11.363
1000,10000,11.345
1000,10000,11.368
1000,10000,11.363
1000,10000,11.361
1000,10000,11.373
1000,10000,11.361
1000,10000,11.363
1000,10000,11.383
1000,10000,11.357
1000,10000,11.353
1500,10000,7.74
1500,10000,7.726
1500,10000,7.736
1500,10000,7.72
1500,10000,7.725
1500,10000,7.726
1500,10000,7.725
1500,10000,7.741
1500,10000,7.735
1500,10000,7.728
1500,10000,7.751
1500,10000,7.765
1500,10000,7.75
1500,10000,7.774
1500,10000,7.774
1500,10000,7.753
1500,10000,7.759
1500,10000,7.756
1500,10000,7.745
1500,10000,7.771
2000,10000,5.821
2000,10000,5.713
2000,10000,5.856
2000,10000,5.807
2000,10000,5.824
2000,10000,5.812
2000,10000,5.805
2000,10000,5.714
2000,10000,5.819
2000,10000,5.715
2000,10000,5.801
2000,10000,5.823
2000,10000,5.829
2000,10000,5.83
2000,10000,5.842
2000,10000,5.829
2000,10000,5.707
2000,10000,5.182
2000,10000,5.828
2000,10000,5.825
2500,10000,4.547
2500,10000,4.569
2500,10000,4.555
2500,10000,4.541
2500,10000,4.574
2500,10000,4.591
2500,10000,4.565
2500,10000,4.639
2500,10000,4.636
2500,10000,4.632
2500,10000,4.569
2500,10000,4.569
2500,10000,4.59
2500,10000,4.57
2500,10000,4.629
2500,10000,4.548
2500,10000,4.572
2500,10000,4.564
2500,10000,4.572
2500,10000,4.576
3000,10000,3.88
3000,10000,3.907
3000,10000,3.883
3000,10000,3.869
3000,10000,3.875
3000,10000,3.874
3000,10000,3.891
3000,10000,3.909
3000,10000,3.876
3000,10000,3.883
3000,10000,3.872
3000,10000,3.868
3000,10000,4.238
3000,10000,3.872
3000,10000,3.877
3000,10000,3.85
3000,10000,3.868
3000,10000,3.872
3000,10000,4.408
3000,10000,4.281
3500,10000,3.707
3500,10000,3.317
3500,10000,3.823
3500,10000,3.225
3500,10000,3.748
3500,10000,3.859
3500,10000,3.628
3500,10000,3.793
3500,10000,3.761
3500,10000,3.917
3500,10000,3.889
3500,10000,3.898
3500,10000,3.448
3500,10000,3.828
3500,10000,3.836
3500,10000,3.873
3500,10000,3.879
3500,10000,3.884
3500,10000,3.819
3500,10000,3.821
4000,10000,3.72
4000,10000,3.654
4000,10000,3.665
4000,10000,3.48
4000,10000,3.225
4000,10000,3.243
4000,10000,3.655
4000,10000,3.655
4000,10000,3.283
4000,10000,3.655
4000,10000,3.385
4000,10000,3.656
4000,10000,3.688
4000,10000,3.148
4000,10000,3.656
4000,10000,3.218
4000,10000,3.232
4000,10000,3.669
4000,10000,3.659
4000,10000,3.387
4500,10000,3.201
4500,10000,3.478
4500,10000,3.155
4500,10000,3.096
4500,10000,3.146
4500,10000,3.058
4500,10000,3.293
4500,10000,3.1
4500,10000,3.065
4500,10000,3.533
4500,10000,3.257
4500,10000,3.096
4500,10000,3.13
4500,10000,3.067
4500,10000,3.107
4500,10000,3.121
4500,10000,3.108
4500,10000,3.535
4500,10000,3.535
4500,10000,3.134
5000,10000,3.124
5000,10000,3.032
5000,10000,3.141
5000,10000,3.103
5000,10000,3.014
5000,10000,3.086
5000,10000,3.352
5000,10000,2.976
