"requests","count","time"
500,10000,21.413
500,10000,21.427
500,10000,21.421
500,10000,21.425
500,10000,21.406
500,10000,21.43
500,10000,21.385
500,10000,21.434
500,10000,21.431
500,10000,12.243
500,10000,21.392
500,10000,21.432
500,10000,21.455
500,10000,21.413
500,10000,21.438
500,10000,21.439
500,10000,21.397
500,10000,15.018
500,10000,21.453
500,10000,21.434
1000,10000,11.345
1000,10000,11.354
1000,10000,11.367
1000,10000,11.347
1000,10000,11.343
1000,10000,11.372
1000,10000,11.365
1000,10000,11.36
1000,10000,11.362
1000,10000,11.341
1000,10000,11.356
1000,10000,11.35
1000,10000,11.359
1000,10000,11.343
1000,10000,11.348
1000,10000,11.358
1000,10000,11.35
1000,10000,11.35
1000,10000,11.358
1000,10000,11.36
1500,10000,7.528
1500,10000,7.731
1500,10000,7.51
1500,10000,7.712
1500,10000,7.724
1500,10000,7.712
1500,10000,7.723
1500,10000,7.712
1500,10000,7.716
1500,10000,7.717
1500,10000,7.722
1500,10000,7.728
1500,10000,7.746
1500,10000,7.717
1500,10000,7.699
1500,10000,7.752
1500,10000,7.745
1500,10000,7.716
1500,10000,7.677
1500,10000,7.725
2000,10000,5.677
2000,10000,5.664
2000,10000,5.808
2000,10000,5.851
2000,10000,5.914
2000,10000,5.797
2000,10000,5.812
2000,10000,5.836
2000,10000,5.838
2000,10000,5.849
2000,10000,5.83
2000,10000,5.839
2000,10000,5.759
2000,10000,5.83
2000,10000,5.769
2000,10000,5.705
2000,10000,5.771
2000,10000,5.705
2000,10000,5.802
2000,10000,5.841
2500,10000,4.628
2500,10000,4.538
2500,10000,4.592
2500,10000,4.647
2500,10000,4.681
2500,10000,4.608
2500,10000,4.591
2500,10000,4.627
2500,10000,4.58
2500,10000,4.605
2500,10000,4.627
2500,10000,4.729
2500,10000,4.698
2500,10000,4.546
2500,10000,4.593
2500,10000,4.557
2500,10000,4.61
2500,10000,4.555
2500,10000,4.72
2500,10000,4.686
3000,10000,3.926
3000,10000,3.913
3000,10000,3.916
3000,10000,3.881
3000,10000,3.876
3000,10000,3.878
3000,10000,3.801
3000,10000,3.875
3000,10000,3.949
3000,10000,3.9
3000,10000,3.931
3000,10000,3.911
3000,10000,3.929
3000,10000,3.789
3000,10000,3.894
3000,10000,3.874
3000,10000,3.872
3000,10000,4.157
3000,10000,3.78
3000,10000,4.116
3500,10000,3.235
3500,10000,3.653
3500,10000,3.707
3500,10000,3.721
3500,10000,3.726
3500,10000,3.633
3500,10000,3.602
3500,10000,3.692
3500,10000,3.737
3500,10000,3.518
3500,10000,3.305
3500,10000,3.203
3500,10000,3.727
3500,10000,3.696
3500,10000,3.175
3500,10000,3.707
3500,10000,3.746
3500,10000,3.7
3500,10000,3.458
3500,10000,3.643
4000,10000,3.023
4000,10000,2.962
4000,10000,3.356
4000,10000,3.168
4000,10000,3.359
4000,10000,3.546
4000,10000,3.555
4000,10000,3.569
4000,10000,3.343
4000,10000,3.461
4000,10000,3.468
4000,10000,3.408
4000,10000,3.328
4000,10000,2.925
4000,10000,3.378
4000,10000,3.351
4000,10000,3.121
4000,10000,3.209
4000,10000,3.309
4000,10000,3.009
4500,10000,2.783
4500,10000,3.257
4500,10000,2.787
4500,10000,3.137
4500,10000,2.919
4500,10000,2.831
4500,10000,2.873
4500,10000,2.898
4500,10000,3.09
4500,10000,3.001
4500,10000,2.934
4500,10000,2.993
4500,10000,2.956
4500,10000,3.07
4500,10000,2.865
4500,10000,2.416
4500,10000,2.914
4500,10000,2.901
4500,10000,2.904
4500,10000,2.895
5000,10000,2.75
5000,10000,2.729
5000,10000,2.775
5000,10000,2.864
5000,10000,2.727
5000,10000,2.697
5000,10000,2.696
5000,10000,2.728
5000,10000,2.651
5000,10000,2.689
5000,10000,2.702
5000,10000,2.781
5000,10000,2.889
5000,10000,2.639
5000,10000,2.567
5000,10000,2.724
5000,10000,2.95
5000,10000,2.65
5000,10000,2.564
5000,10000,2.658
5500,10000,2.397
5500,10000,2.354
5500,10000,2.417
5500,10000,2.576
5500,10000,2.717
5500,10000,2.489
5500,10000,2.516
5500,10000,2.505
5500,10000,2.464
5500,10000,2.737
5500,10000,2.691
5500,10000,2.581
5500,10000,2.475
5500,10000,2.413
5500,10000,2.422
5500,10000,2.433
5500,10000,2.433
5500,10000,2.374
5500,10000,2.427
5500,10000,2.521
6000,10000,2.366
6000,10000,2.366
6000,10000,2.355
6000,10000,2.454
6000,10000,2.312
6000,10000,2.473
6000,10000,2.758
6000,10000,2.523
6000,10000,2.426
6000,10000,2.379
6000,10000,2.527
6000,10000,2.206
6000,10000,2.205
6000,10000,2.309
6000,10000,2.396
6000,10000,2.374
6000,10000,2.495
6000,10000,2.369
6000,10000,2.443
6000,10000,2.323
6500,10000,2.24
6500,10000,2.259
6500,10000,2.205
6500,10000,1.731
6500,10000,2.071
6500,10000,1.645
6500,10000,1.633
6500,10000,1.728
6500,10000,1.786
6500,10000,1.852
6500,10000,2.022
6500,10000,2.079
6500,10000,2.023
